A9 18
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 14
1 15 15
1 16 16
1 17 17
1 18 18
2 1 2
2 2 1,2,3,4,6,7,9,10
2 3 2,3,7,8,10,11,15,16
2 4 2,4,7,9,10
2 5 5,10,11,13,14,16,17,18
2 6 2,6,7,8,9,10,11,12,16,17,18
2 7 2,3,4,6,7,8,9,10,11,12,15,16,17,18
2 8 3,6,7,8,10,11,12,13,14,15,16,17,18
2 9 2,4,6,7,9,10,11,12,15
2 10 2,3,4,5,6,7,8,9,10,11,12,15,16,17,18
2 11 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2 12 6,7,8,9,10,11,12,13,14,15,16,17,18
2 13 5,8,11,12,13,14,15,16,17,18
2 14 5,8,11,12,13,14,15,16,17,18
2 15 3,7,8,9,10,11,12,13,14,15,16
2 16 3,5,6,7,8,10,11,12,13,14,15,16,17,18
2 17 5,6,7,8,10,11,12,13,14,16,17,18
2 18 5,6,7,8,10,11,12,13,14,16,17,18
3 1 3
3 2 2,3,7,8,10,11,15,16
3 3 1,2,3,4,5,6,8,9,10,12,13,14,15
3 4 3,10,11,15
3 5 3,7,11,12,13,14,16,17,18
3 6 3,6,7,8,10,11,12,13,14,15,16,17,18
3 7 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 8 2,3,6,7,8,10,11,12,13,14,15,16,17,18
3 9 3,7,10,11,12,13,14,15,16,17,18
3 10 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
3 11 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 12 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 14 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 15 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
3 16 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3 17 5,6,7,8,9,10,11,12,13,14,15,16,18
3 18 5,6,7,8,9,10,11,12,13,14,15,16,17
4 1 4
4 2 2,4,7,9,10
4 3 3,10,11,15
4 4 1,2,4,6,9
4 5 5,6,13,14,16,17,18
4 6 4,5,6,7,9,10,12,17,18
4 7 2,6,7,8,9,10,11,12,16
4 8 7,8,11,12,13,14,16,17,18
4 9 2,4,6,7,9,12,17,18
4 10 2,3,6,7,10,11,12,15,16,17,18
4 11 3,7,8,10,11,12,13,14,15,16,17,18
4 12 6,7,8,9,10,11,12,13,14,17,18
4 13 5,8,11,12,13,14,15,16,17,18
4 14 5,8,11,12,13,14,15,16,17,18
4 15 3,10,11,13,14,15,16,17,18
4 16 5,7,8,10,11,13,14,15,16,17,18
4 17 5,6,8,9,10,11,12,13,14,15,16,17,18
4 18 5,6,8,9,10,11,12,13,14,15,16,17,18
5 1 5
5 2 5,10,11,13,14,16,17,18
5 3 3,7,11,12,13,14,16,17,18
5 4 5,6,13,14,16,17,18
5 5 1,2,4,5,6,8,9,10,11,12,13,14,15,17,18
5 6 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 7 3,6,7,8,10,11,12,13,14,15,16,17,18
5 8 5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 9 5,6,8,10,11,12,13,14,15,16,17,18
5 10 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 11 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 12 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 15 5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 16 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
5 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 1 6
6 2 2,6,7,8,9,10,11,12,16,17,18
6 3 3,6,7,8,10,11,12,13,14,15,16,17,18
6 4 4,5,6,7,9,10,12,17,18
6 5 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 6 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 8 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 9 2,4,5,6,7,8,9,10,11,12,13,14,16,17,18
6 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 11 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 14 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 15 3,5,6,7,8,10,11,12,13,14,15,16,17,18
6 16 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 1 7
7 2 2,3,4,6,7,8,9,10,11,12,15,16,17,18
7 3 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 4 2,6,7,8,9,10,11,12,16
7 5 3,6,7,8,10,11,12,13,14,15,16,17,18
7 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 7 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 9 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
7 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 14 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 15 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 17 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 18 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 1 8
8 2 3,6,7,8,10,11,12,13,14,15,16,17,18
8 3 2,3,6,7,8,10,11,12,13,14,15,16,17,18
8 4 7,8,11,12,13,14,16,17,18
8 5 5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 6 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 8 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 9 5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 10 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
