J2 21
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 14
1 15 15
1 16 16
1 17 17
1 18 18
1 19 19
1 20 20
1 21 21
2 1 2
2 2 1,2,5,6,7,8
2 3 3,12,14,15,16
2 4 11,19
2 5 2,5,6,7,8,11,13,14,17,18,19,20,21
2 6 2,5,6,13,14,19,20,21
2 7 2,5,8,18,19,20
2 8 2,5,7,17,19,21
2 9 9,12,13,16,17,18,19,21
2 10 10,12,13,15,17,18,19,20
2 11 4,5,11,12,13,14,15,16,17,18,19,20,21
2 12 3,9,10,11,12,13,14,15,16,17,18,19,20,21
2 13 5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
2 14 3,5,6,11,12,13,14,15,16,17,18,19,20,21
2 15 3,10,11,12,13,14,15,16,17,18,19,20
2 16 3,9,11,12,13,14,15,16,17,18,19,21
2 17 5,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2 18 5,7,9,10,11,12,13,14,15,16,17,18,19,20,21
2 19 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2 20 5,6,7,10,11,12,13,14,15,17,18,19,20,21
2 21 5,6,8,9,11,12,13,14,16,17,18,19,20,21
3 1 3
3 2 3,12,14,15,16
3 3 1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21
3 4 3,4,9,10,11,14,17,18
3 5 3,5,9,10,11,12,13,14,15,16,17,18,19,20,21
3 6 3,6,9,10,11,12,13,14,15,16,17,18,20,21
3 7 3,10,11,12,13,14,15,16,17,21
3 8 3,9,11,12,13,14,15,16,18,20
3 9 3,4,5,6,8,10,11,12,13,14,15,17,18,19,20,21
3 10 3,4,5,6,7,9,11,12,13,14,16,17,18,19,20,21
3 11 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 14 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 15 2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21
3 16 2,3,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21
3 17 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
3 18 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 19 3,5,9,10,11,12,13,14,15,16,17,18,19,20,21
3 20 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3 21 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
4 1 4
4 2 11,19
4 3 3,4,9,10,11,14,17,18
4 4 1,3,4,6,9,10,11
4 5 5,12,13,14,15,16,17,18,19,20,21
4 6 4,6,9,10,11,13,14,17,18,19
4 7 7,10,16,17,20,21
4 8 8,9,15,18,20,21
4 9 3,4,6,8,9,10,11,13,14,15,17,18,19,20,21
4 10 3,4,6,7,9,10,11,13,14,16,17,18,19,20,21
4 11 2,3,4,6,9,10,11,13,14,15,16,17,18,19,20,21
4 12 5,12,13,14,15,16,17,18,19,20,21
4 13 5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
4 14 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
4 15 5,8,9,11,12,13,14,15,18,19,20,21
4 16 5,7,10,11,12,13,14,16,17,19,20,21
4 17 3,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21
4 18 3,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21
4 19 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
4 20 5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4 21 5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 1 5
5 2 2,5,6,7,8,11,13,14,17,18,19,20,21
5 3 3,5,9,10,11,12,13,14,15,16,17,18,19,20,21
5 4 5,12,13,14,15,16,17,18,19,20,21
5 5 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 6 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 7 2,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21
5 8 2,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21
5 9 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
5 10 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 11 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 12 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 15 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 16 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 1 6
6 2 2,5,6,13,14,19,20,21
6 3 3,6,9,10,11,12,13,14,15,16,17,18,20,21
6 4 4,6,9,10,11,13,14,17,18,19
6 5 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 6 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 7 5,6,7,10,11,12,13,14,16,17,18,19,20,21
6 8 5,6,8,9,11,12,13,14,15,17,18,19,20,21
6 9 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 10 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
6 11 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 12 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 15 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 16 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
6 17 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 18 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 19 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 20 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 21 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 1 7
7 2 2,5,8,18,19,20
7 3 3,10,11,12,13,14,15,16,17,21
7 4 7,10,16,17,20,21
7 5 2,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21
