L2(41) 23
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 14
1 15 15
1 16 16
1 17 17
1 18 18
1 19 19
1 20 20
1 21 21
1 22 22
1 23 23
2 1 2
2 2 1,2,3,5,7,9,11,13,14,15,16,17,18,19,20,21,22,23
2 3 2,3,4,6,8,10,12,14,15,16,17,18,19,20,21,22,23
2 4 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 5 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 6 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 7 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 8 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 9 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 10 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 11 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 12 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 13 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 22 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2 23 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 1 3
3 2 2,3,4,6,8,10,12,14,15,16,17,18,19,20,21,22,23
3 3 1,2,3,5,7,9,11,13,14,15,16,17,18,19,20,21,22,23
3 4 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 5 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 6 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 7 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 8 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 10 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 11 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 12 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 13 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 22 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3 23 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 1 4
4 2 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 3 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 4 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 22 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4 23 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 1 5
5 2 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 3 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 4 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 5 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
