PerfectGroup(60,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(120,1) |Phi|=2 violated by |a|=5 |b|=3 |ab|=4
PerfectGroup(168,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(336,1) |Phi|=2 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(360,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(504,1) |Phi|=1 violated by |a|=7 |b|=2 |ab|=7
PerfectGroup(660,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(720,1) |Phi|=2 violated by |a|=3 |b|=4 |ab|=10
PerfectGroup(960,1) |Phi|=1 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(960,2) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(1080,1) |Phi|=3 violated by |a|=2 |b|=5 |ab|=2
PerfectGroup(1092,1) |Phi|=1 violated by |a|=2 |b|=13 |ab|=2
PerfectGroup(1320,1) |Phi|=2 violated by |a|=5 |b|=11 |ab|=5
PerfectGroup(1344,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(1344,2) |Phi|=8 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(1920,1) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(1920,2) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(1920,3) |Phi|=2 violated by |a|=6 |b|=5 |ab|=4
PerfectGroup(1920,4) |Phi|=32 violated by |a|=6 |b|=5 |ab|=4
PerfectGroup(1920,5) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(1920,6) |Phi|=2 violated by |a|=3 |b|=5 |ab|=10
PerfectGroup(1920,7) |Phi|=2 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(2160,1) |Phi|=6 violated by |a|=4 |b|=5 |ab|=4
PerfectGroup(2184,1) |Phi|=2 violated by |a|=3 |b|=4 |ab|=4
PerfectGroup(2448,1) |Phi|=1 violated by |a|=2 |b|=17 |ab|=2
PerfectGroup(2520,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(2688,1) |Phi|=2 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(2688,2) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(2688,3) |Phi|=16 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(3000,1) |Phi|=1 violated by |a|=5 |b|=4 |ab|=3
PerfectGroup(3420,1) |Phi|=1 violated by |a|=9 |b|=19 |ab|=9
PerfectGroup(3600,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(3840,1) |Phi|=4 violated by |a|=3 |b|=5 |ab|=2
PerfectGroup(3840,2) |Phi|=4 violated by |a|=3 |b|=5 |ab|=2
PerfectGroup(3840,3) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(3840,4) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(3840,5) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(3840,6) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(3840,7) |Phi|=4 violated by |a|=6 |b|=5 |ab|=3
PerfectGroup(4080,1) |Phi|=1 violated by |a|=15 |b|=2 |ab|=2
PerfectGroup(4860,1) |Phi|=1 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(4860,2) |Phi|=81 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(4896,1) |Phi|=2 violated by |a|=6 |b|=17 |ab|=4
PerfectGroup(5040,1) |Phi|=2 violated by |a|=7 |b|=3 |ab|=3
PerfectGroup(5376,1) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(5616,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(5760,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=4
PerfectGroup(6048,1) |Phi|=1 violated by |a|=4 |b|=3 |ab|=4
PerfectGroup(6072,1) |Phi|=1 violated by |a|=11 |b|=23 |ab|=11
PerfectGroup(6840,1) |Phi|=2 violated by |a|=9 |b|=4 |ab|=4
PerfectGroup(7200,1) |Phi|=2 violated by |a|=5 |b|=3 |ab|=4
PerfectGroup(7200,2) |Phi|=2 violated by |a|=5 |b|=3 |ab|=4
PerfectGroup(7500,1) |Phi|=1 violated by |a|=5 |b|=2 |ab|=2
PerfectGroup(7500,2) |Phi|=125 violated by |a|=5 |b|=2 |ab|=2
PerfectGroup(7560,1) |Phi|=3 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(7680,1) |Phi|=8 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(7680,2) |Phi|=8 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(7680,3) |Phi|=8 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(7680,4) |Phi|=8 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(7680,5) |Phi|=8 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(7800,1) |Phi|=1 violated by |a|=12 |b|=5 |ab|=12
PerfectGroup(7920,1) |Phi|=1 violated by |a|=4 |b|=3 |ab|=4
PerfectGroup(9720,1) |Phi|=2 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(9720,2) |Phi|=162 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(9720,3) |Phi|=1 violated by |a|=3 |b|=4 |ab|=4
PerfectGroup(9828,1) |Phi|=1 violated by |a|=13 |b|=3 |ab|=13
PerfectGroup(10080,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(10752,1) |Phi|=1 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(10752,2) |Phi|=8 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(10752,3) |Phi|=8 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(10752,4) |Phi|=64 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(10752,5) |Phi|=1 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(10752,6) |Phi|=8 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(10752,7) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(10752,8) |Phi|=8 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(10752,9) |Phi|=64 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(11520,1) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(11520,2) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(11520,3) |Phi|=2 violated by |a|=4 |b|=3 |ab|=8
PerfectGroup(11520,4) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(12144,1) |Phi|=2 violated by |a|=11 |b|=4 |ab|=4
PerfectGroup(12180,1) |Phi|=1 violated by |a|=2 |b|=29 |ab|=2
PerfectGroup(14400,1) |Phi|=4 violated by |a|=5 |b|=3 |ab|=4
PerfectGroup(14520,1) |Phi|=1 violated by |a|=4 |b|=5 |ab|=4
PerfectGroup(14580,1) |Phi|=3 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(14880,1) |Phi|=1 violated by |a|=5 |b|=31 |ab|=5
PerfectGroup(15000,1) |Phi|=2 violated by |a|=5 |b|=4 |ab|=4
PerfectGroup(15000,2) |Phi|=250 violated by |a|=5 |b|=4 |ab|=4
PerfectGroup(15000,3) |Phi|=5 violated by |a|=5 |b|=3 |ab|=10
PerfectGroup(15120,1) |Phi|=6 violated by |a|=4 |b|=3 |ab|=8
PerfectGroup(15360,1) |Phi|=16 violated by |a|=3 |b|=5 |ab|=2
PerfectGroup(15360,2) |Phi|=16 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(15360,3) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(15360,4) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(15360,5) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(15360,6) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(15360,7) |Phi|=16 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(15600,1) |Phi|=2 violated by |a|=3 |b|=4 |ab|=4
PerfectGroup(16464,1) |Phi|=1 violated by |a|=7 |b|=8 |ab|=8
PerfectGroup(17280,1) |Phi|=3 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(19656,1) |Phi|=2 violated by |a|=13 |b|=4 |ab|=4
PerfectGroup(20160,1) |Phi|=2 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(20160,2) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(20160,3) |Phi|=2 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(20160,4) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(20160,5) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(21504,1) |Phi|=2 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,2) |Phi|=2 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,3) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,4) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,5) |Phi|=16 violated by |a|=4 |b|=7 |ab|=7
PerfectGroup(21504,6) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,7) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,8) |Phi|=128 violated by |a|=4 |b|=7 |ab|=7
