49
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
2 4 5 7 8 9 11 12 13 14 16 17 18 19 20 22 23 24 25 26 27 1 29 30 31 32 33 34 3 35 36 37 38 39 6 40 41 42 43 10 44 45 46 15 47 48 21 49 28
3 5 6 8 9 10 12 13 14 15 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 1 35 36 37 38 39 2 40 41 42 43 4 44 45 46 7 47 48 11 49 16 22
4 7 8 11 12 13 16 17 18 19 22 23 24 25 26 1 29 30 31 32 33 2 3 35 36 37 38 39 5 6 40 41 42 43 9 10 44 45 46 14 15 47 48 20 21 49 27 28 34
5 8 9 12 13 14 17 18 19 20 23 24 25 26 27 29 30 31 32 33 34 3 35 36 37 38 39 2 6 40 41 42 43 4 10 44 45 46 7 15 47 48 11 21 49 16 28 22 1
6 9 10 13 14 15 18 19 20 21 24 25 26 27 28 30 31 32 33 34 1 35 36 37 38 39 2 3 40 41 42 43 4 5 44 45 46 7 8 47 48 11 12 49 16 17 22 23 29
7 11 12 16 17 18 22 23 24 25 1 29 30 31 32 2 3 35 36 37 38 4 5 6 40 41 42 43 8 9 10 44 45 46 13 14 15 47 48 19 20 21 49 26 27 28 33 34 39
8 12 13 17 18 19 23 24 25 26 29 30 31 32 33 3 35 36 37 38 39 5 6 40 41 42 43 4 9 10 44 45 46 7 14 15 47 48 11 20 21 49 16 27 28 22 34 1 2
9 13 14 18 19 20 24 25 26 27 30 31 32 33 34 35 36 37 38 39 2 6 40 41 42 43 4 5 10 44 45 46 7 8 15 47 48 11 12 21 49 16 17 28 22 23 1 29 3
10 14 15 19 20 21 25 26 27 28 31 32 33 34 1 36 37 38 39 2 3 40 41 42 43 4 5 6 44 45 46 7 8 9 47 48 11 12 13 49 16 17 18 22 23 24 29 30 35
11 16 17 22 23 24 1 29 30 31 2 3 35 36 37 4 5 6 40 41 42 7 8 9 10 44 45 46 12 13 14 15 47 48 18 19 20 21 49 25 26 27 28 32 33 34 38 39 43
